word_corrected,year,count,frequency,is_bad_word,word_length,genre
forget,1991,24,0.0015085800490288515,0,6,rock
fight,1991,24,0.0015085800490288515,0,5,rock
wast,1991,24,0.0015085800490288515,0,4,rock
town,1991,24,0.0015085800490288515,0,4,rock
best,1991,23,0.0014457225469859827,0,4,rock
sitting,1991,23,0.0014457225469859827,0,7,rock
room,1991,23,0.0014457225469859827,0,4,rock
past,1991,22,0.001382865044943114,0,4,rock
break,1991,22,0.001382865044943114,0,5,rock
west,1991,22,0.001382865044943114,0,4,rock
before,1992,30,0.002041510717931269,0,6,rock
next,1992,30,0.002041510717931269,0,4,rock
try,1992,30,0.002041510717931269,0,3,rock
ever,1992,29,0.0019734603606668937,0,4,rock
end,1992,29,0.0019734603606668937,0,3,rock
wait,1992,29,0.0019734603606668937,0,4,rock
wish,1992,29,0.0019734603606668937,0,4,rock
soul,1992,29,0.0019734603606668937,0,4,rock
devil,1992,29,0.0019734603606668937,0,5,rock
use,1992,29,0.0019734603606668937,0,3,rock
d,1992,29,0.0019734603606668937,0,1,rock
much,1992,29,0.0019734603606668937,0,4,rock
tear,1992,29,0.0019734603606668937,0,4,rock
care,1992,29,0.0019734603606668937,0,4,rock
die,1992,27,0.0018373596461381421,0,3,rock
stop,1992,27,0.0018373596461381421,0,4,rock
people,1992,27,0.0018373596461381421,0,6,rock
great,1992,27,0.0018373596461381421,0,5,rock
smile,1992,27,0.0018373596461381421,0,5,rock
call,1992,27,0.0018373596461381421,0,4,rock
who,1992,26,0.0017693092888737666,0,3,rock
play,1992,26,0.0017693092888737666,0,4,rock
gotta,1992,26,0.0017693092888737666,0,5,rock
sing,1992,26,0.0017693092888737666,0,4,rock
made,1992,26,0.0017693092888737666,0,4,rock
free,1992,26,0.0017693092888737666,0,4,rock
gone,1992,25,0.001701258931609391,0,4,rock
fire,1992,25,0.001701258931609391,0,4,rock
chorus,1992,25,0.001701258931609391,0,6,rock
lie,1992,25,0.001701258931609391,0,3,rock
arm,1992,25,0.001701258931609391,0,3,rock
knew,1992,24,0.0016332085743450153,0,4,rock
run,1992,24,0.0016332085743450153,0,3,rock
put,1992,24,0.0016332085743450153,0,3,rock
ooh,1992,24,0.0016332085743450153,0,3,rock
wanna,1992,24,0.0016332085743450153,0,5,rock
word,1992,24,0.0016332085743450153,0,4,rock
sure,1992,24,0.0016332085743450153,0,4,rock
blood,1992,24,0.0016332085743450153,0,5,rock
breath,1992,24,0.0016332085743450153,0,6,rock
change,1992,24,0.0016332085743450153,0,6,rock
line,1992,24,0.0016332085743450153,0,4,rock
along,1992,24,0.0016332085743450153,0,5,rock
broken,1992,24,0.0016332085743450153,0,6,rock
town,1992,23,0.0015651582170806396,0,4,rock
girl,1992,23,0.0015651582170806396,0,4,rock
seen,1992,23,0.0015651582170806396,0,4,rock
hey,1992,23,0.0015651582170806396,0,3,rock
walk,1992,23,0.0015651582170806396,0,4,rock
thought,1992,23,0.0015651582170806396,0,7,rock
listen,1992,22,0.001497107859816264,0,6,rock
last,1993,33,0.002005103900838498,0,4,rock
us,1993,33,0.002005103900838498,0,2,rock
big,1993,33,0.002005103900838498,0,3,rock
place,1993,32,0.0019443431765706646,0,5,rock
run,1993,32,0.0019443431765706646,0,3,rock
and,1993,32,0.0019443431765706646,0,3,rock
along,1993,32,0.0019443431765706646,0,5,rock
friend,1993,31,0.0018835824523028314,0,6,rock
call,1993,31,0.0018835824523028314,0,4,rock
done,1993,31,0.0018835824523028314,0,4,rock
line,1993,31,0.0018835824523028314,0,4,rock
much,1993,31,0.0018835824523028314,0,4,rock
home,1993,31,0.0018835824523028314,0,4,rock
mind,1993,30,0.0018228217280349982,0,4,rock
fore,1993,30,0.0018228217280349982,0,4,rock
on,1993,30,0.0018228217280349982,1,2,rock
ever,1993,30,0.0018228217280349982,0,4,rock
even,1993,29,0.0017620610037671648,0,4,rock
told,1993,29,0.0017620610037671648,0,4,rock
inside,1993,29,0.0017620610037671648,0,6,rock
pass,1993,29,0.0017620610037671648,0,4,rock
heard,1993,28,0.0017013002794993317,0,5,rock
mouth,1993,28,0.0017013002794993317,0,5,rock
seem,1993,28,0.0017013002794993317,0,4,rock
yes,1993,28,0.0017013002794993317,0,3,rock
use,1993,28,0.0017013002794993317,0,3,rock
eye,1993,28,0.0017013002794993317,0,3,rock
put,1993,28,0.0017013002794993317,0,3,rock
guess,1993,27,0.0016405395552314983,0,5,rock
mile,1993,27,0.0016405395552314983,0,4,rock
word,1993,27,0.0016405395552314983,0,4,rock
believe,1993,27,0.0016405395552314983,0,7,rock
tear,1993,27,0.0016405395552314983,0,4,rock
three,1993,27,0.0016405395552314983,0,5,rock
seen,1993,26,0.001579778830963665,0,4,rock
cometh,1993,26,0.001579778830963665,0,6,rock
si,1993,26,0.001579778830963665,0,2,rock
care,1993,26,0.001579778830963665,0,4,rock
en,1993,26,0.001579778830963665,0,2,rock
before,1993,26,0.001579778830963665,0,6,rock
two,1993,25,0.0015190181066958319,0,3,rock
shut,1993,25,0.0015190181066958319,0,4,rock
end,1993,25,0.0015190181066958319,0,3,rock
wait,1993,25,0.0015190181066958319,0,4,rock
name,1993,25,0.0015190181066958319,0,4,rock
new,1993,25,0.0015190181066958319,0,3,rock
change,1993,25,0.0015190181066958319,0,6,rock
pleas,1993,24,0.0014582573824279985,0,5,rock
burn,1993,24,0.0014582573824279985,0,4,rock
watch,1993,24,0.0014582573824279985,0,5,rock
cry,1993,24,0.0014582573824279985,0,3,rock
gotta,1994,33,0.002038295243977764,0,5,rock
leave,1994,32,0.001976528721432983,0,5,rock
stand,1994,32,0.001976528721432983,0,5,rock
lost,1994,32,0.001976528721432983,0,4,rock
blue,1994,32,0.001976528721432983,0,4,rock
god,1994,32,0.001976528721432983,0,3,rock
till,1994,32,0.001976528721432983,0,4,rock
end,1994,31,0.0019147621988882025,0,3,rock
knew,1994,30,0.0018529956763434219,0,4,rock
show,1994,30,0.0018529956763434219,0,4,rock
change,1994,30,0.0018529956763434219,0,6,rock
soul,1994,30,0.0018529956763434219,0,4,rock
made,1994,29,0.0017912291537986412,0,4,rock
dance,1994,29,0.0017912291537986412,0,5,rock
break,1994,29,0.0017912291537986412,0,5,rock
word,1994,29,0.0017912291537986412,0,4,rock
said,1994,29,0.0017912291537986412,0,4,rock
call,1994,29,0.0017912291537986412,0,4,rock
mean,1994,29,0.0017912291537986412,0,4,rock
thought,1994,28,0.0017294626312538604,0,7,rock
cut,1994,28,0.0017294626312538604,0,3,rock
must,1994,28,0.0017294626312538604,0,4,rock
song,1994,28,0.0017294626312538604,0,4,rock
hand,1994,28,0.0017294626312538604,0,4,rock
lie,1994,28,0.0017294626312538604,0,3,rock
hold,1994,27,0.0016676961087090797,0,4,rock
getting,1994,27,0.0016676961087090797,0,7,rock
walk,1994,27,0.0016676961087090797,0,4,rock
dream,1994,26,0.001605929586164299,0,5,rock
chorus,1994,26,0.001605929586164299,0,6,rock
hard,1994,26,0.001605929586164299,1,4,rock
fight,1994,26,0.001605929586164299,0,5,rock
gone,1994,26,0.001605929586164299,0,4,rock
fame,1994,26,0.001605929586164299,0,4,rock
might,1994,26,0.001605929586164299,0,5,rock
sky,1994,25,0.0015441630636195182,0,3,rock
wrong,1994,25,0.0015441630636195182,0,5,rock
g,1994,25,0.0015441630636195182,0,1,rock
